userID	VidID	fracSpent	fracComp	fracPlayed	fracPaused	numPauses	avgPBR	stdPBR	numRWs	numFFs	s
ae75b2638c3fb638d36836e0407048aa2ed440c5	2	0.999065657	0.992733734	0.992733734	5768.34082	1	1	0	0	0	0
ec7a9d0ef1f5f2d22c37d4d1b36a8e51785d0321	1	1.498337709	0.019658141	0.019658141	5638.430819	1	1	0	0	0	0
f1e048831a6dc047094feb8d23c662fb718044c6	20	830.0916782	0.602921083	0.628790128	5616.980462	4	1	0	0	1	0
3a06c1d4cadf969114ac27d0e8743c32984ca9ff	22	1.014801626	0.99343887	0.99343887	5603.642268	1	1.012711043	0.05887815	0	0	1
f1e048831a6dc047094feb8d23c662fb718044c6	31	1.073392205	0.99257317	1.069804144	5558.138519	5	1	0	2	0	1
f1e048831a6dc047094feb8d23c662fb718044c6	25	0.688434222	0.283317861	0.768437699	5496.255154	3	1	0	4	12	0
636ddf8ed1ae037fe437ad94e22c4801bca410ca	2	0.391848485	0.084045288	0.256718684	5443.667554	4	1.066224362	0.135323809	2	0	1
6f8554415660b6b99e381b9f2a30f445c25e5059	24	0.810383586	0.995884142	0.995884142	5320.601082	8	1.246800284	0.028101438	0	0	0
6f8554415660b6b99e381b9f2a30f445c25e5059	25	0.807692175	0.996181813	0.996181813	5128.422134	1	1.25	2.22044604925e-16	0	0	1
5f4aae50a0cbc0a67fdb02e6c6462c2d770bf005	6	0.985493092	0.943043013	0.976348861	5074.407871	6	1.033161774	0.084798233	0	2	1
de569750ccd9220f2f63a2a1303c5ec492092fd0	4	0.676367284	0.667987351	0.699362416	5071.4162	3	1.035539864	0.087303403	22	33	0
020de8e697cdd62bfe5ee16f2851531e5cbbd761	0	0.996430286	0.995504532	0.995504532	4929.173675	2	1	0	0	0	1
f1e048831a6dc047094feb8d23c662fb718044c6	12	0.025173127	0.025118818	0.025118818	4799.420847	1	1	0	0	1	0
3a06c1d4cadf969114ac27d0e8743c32984ca9ff	1	90.31188783	0.035857981	0.035857981	4734.52108	2	1	0	0	0	1
